referrer,sex,d_art,iat_exclude
ithaca,f,1.10104224205146,0
ithaca,f,.527097531298494,0
ithaca,f,.281867014917772,0
ithaca,f,.316551560538146,0
ithaca,f,1.20768520406268,0
ithaca,f,.91839319663047,0
ithaca,f,.741990949702972,0
ithaca,f,.153128421488281,0
ithaca,f,.559894471881372,0
ithaca,f,-.561162266124237,0
ithaca,f,-.597439530871723,0
ithaca,f,.209488920170562,0
ithaca,f,.508628787821256,0
ithaca,f,1.03951441203049,0
ithaca,f,1.26480264928313,0
ithaca,f,.828459617739185,0
ithaca,f,-.370920045548597,0
ithaca,m,-.0527737990277843,0
ithaca,m,1.17717724950108,0
ithaca,m,.304706578511388,0
ithaca,m,-.733969248084436,0
ithaca,m,.718768494586106,0
ithaca,m,.325208391224386,0
ithaca,m,-.476392584962839,0
ithaca,m,-.319316109612321,0
ithaca,m,.320658449247056,0
ithaca,m,.741410496821838,0
ithaca,m,.351745124518252,0
ithaca,m,.995223670425099,0
ithaca,m,.87547615672703,0
ithaca,m,-.210565806565396,0
ithaca,m,-.358141247436876,0
ithaca,m,.6878591157423,0
ithaca,m,.321100754480548,0
